,001.jpg,006.jpg,011.jpg,016.jpg,021.jpg,026.jpg,031.jpg,036.jpg,041.jpg,046.jpg,051.jpg,056.jpg,061.jpg,066.jpg,071.jpg,076.jpg,081.jpg,086.jpg,091.jpg,096.jpg,101.jpg,106.jpg,111.jpg,116.jpg,121.jpg,126.jpg,131.jpg,136.jpg,141.jpg,146.jpg,151.jpg,156.jpg,161.jpg,166.jpg,171.jpg,176.jpg,181.jpg,186.jpg,191.jpg,196.jpg,201.jpg,206.jpg,211.jpg,216.jpg,221.jpg,236.jpg,241.jpg,246.jpg,251.jpg,256.jpg,266.jpg,276.jpg,281.jpg,286.jpg,291.jpg,296.jpg,301.jpg,306.jpg,321.jpg,326.jpg,331.jpg,336.jpg,341.jpg,346.jpg,351.jpg,356.jpg,361.jpg,366.jpg,371.jpg,376.jpg,381.jpg,386.jpg,391.jpg,396.jpg,401.jpg,406.jpg,411.jpg,416.jpg,421.jpg,426.jpg,431.jpg,436.jpg,441.jpg,446.jpg,451.jpg,456.jpg,461.jpg,466.jpg,471.jpg,476.jpg,486.jpg,491.jpg,496.jpg,501.jpg,506.jpg,511.jpg,516.jpg,521.jpg,per_img_mean,dataset_total
same_label,65.0,77.0,154.0,20.0,53.0,32.0,25.0,67.0,36.0,23.0,42.0,9.0,53.0,5.0,18.0,278.0,132.0,166.0,70.0,95.0,62.0,50.0,181.0,33.0,29.0,14.0,9.0,81.0,127.0,20.0,4.0,18.0,57.0,16.0,10.0,16.0,29.0,67.0,30.0,17.0,23.0,28.0,35.0,32.0,26.0,107.0,28.0,108.0,148.0,338.0,241.0,155.0,189.0,440.0,228.0,218.0,27.0,22.0,82.0,102.0,4.0,37.0,88.0,110.0,79.0,66.0,61.0,47.0,118.0,77.0,24.0,82.0,44.0,147.0,22.0,17.0,109.0,104.0,185.0,179.0,42.0,51.0,30.0,145.0,11.0,43.0,63.0,20.0,641.0,78.0,83.0,69.0,37.0,52.0,150.0,34.0,24.0,416.0,86.28571428571429,8456.0
different_label,11.0,2.0,3.0,5.0,8.0,0.0,0.0,4.0,17.0,3.0,9.0,2.0,7.0,0.0,1.0,7.0,55.0,57.0,0.0,3.0,1.0,0.0,19.0,22.0,0.0,6.0,0.0,33.0,69.0,0.0,0.0,2.0,4.0,22.0,7.0,1.0,4.0,1.0,12.0,18.0,51.0,5.0,22.0,9.0,0.0,0.0,2.0,0.0,0.0,81.0,21.0,51.0,18.0,90.0,106.0,62.0,0.0,14.0,15.0,94.0,2.0,14.0,3.0,37.0,8.0,7.0,5.0,2.0,4.0,16.0,33.0,35.0,67.0,49.0,3.0,2.0,0.0,41.0,116.0,7.0,42.0,28.0,9.0,14.0,22.0,13.0,0.0,5.0,2.0,180.0,6.0,18.0,35.0,5.0,34.0,14.0,37.0,28.0,20.397959183673468,1999.0
not_labeled,12.0,16.0,5.0,4.0,9.0,3.0,5.0,5.0,3.0,0.0,7.0,1.0,3.0,3.0,1.0,27.0,8.0,93.0,46.0,36.0,14.0,2.0,16.0,10.0,6.0,8.0,1.0,7.0,21.0,6.0,1.0,6.0,7.0,3.0,4.0,0.0,1.0,6.0,10.0,22.0,7.0,5.0,8.0,6.0,1.0,3.0,15.0,5.0,11.0,13.0,21.0,142.0,486.0,213.0,12.0,4.0,1.0,0.0,8.0,44.0,2.0,28.0,10.0,17.0,168.0,39.0,11.0,20.0,34.0,16.0,2.0,20.0,4.0,6.0,10.0,2.0,5.0,5.0,10.0,11.0,1.0,9.0,9.0,11.0,1.0,5.0,1.0,3.0,42.0,13.0,12.0,2.0,4.0,5.0,8.0,8.0,10.0,31.0,20.79591836734694,2038.0
krippendorff_with_undetected,0.6214643304130163,0.533048339362052,0.4895408498881725,0.6590308370044053,0.49552747408774667,0.6040609137055837,0.7904896421845574,0.49692194040876636,-0.10926602457655266,0.21959459459459463,0.6653183257122757,0.6007604562737643,0.5402298850574713,0.28761061946902644,0.756701030927835,0.4639800400490923,0.30698361084636794,0.27502757477927575,0.362768972813286,0.2798643135863781,0.34084829957967133,0.4908015768725361,0.35706896082328277,0.2683917382223254,0.7541371158392435,0.4192903548225887,0.8722466960352423,0.5035825705372141,0.411266662728651,-0.06944444444444442,0.631578947368421,0.29599999999999993,0.5181630546955625,0.1990216271884655,0.3170498084291188,0.0,0.5912435614422369,0.392618767177071,0.5104091888011486,0.10854745673833244,-0.0012126399885870054,0.3058968058968059,0.3637953651071272,0.4539781591263651,0.49367088607594944,0.564622849580944,0.20616113744075837,0.4888082274652147,0.06164874551971322,0.07520271444656879,0.4364228322231847,0.40360782826323693,0.22455781764828098,0.13190859324774495,0.40968212585806885,0.5038821315949863,0.0,0.47197744095875926,0.4508446825928407,0.2823815375841068,0.2977099236641222,0.36249035245690764,0.46380770281343897,0.3731766708432823,0.23141424813973877,0.2922946249673316,0.3734037119019241,0.6483277721735081,0.38855876724745686,0.2707178631051753,0.2635102821616452,0.43243311268279183,0.23069169711477877,0.0982384823848238,0.5985130111524164,0.5579322638146168,0.36190119760479045,0.24510233918128654,0.4091628913923746,0.35737625559724073,-0.03496636027669853,0.17680399289400228,0.5896700143472023,0.6200698653449974,0.3102731591448932,0.422425952045134,0.6643233743409491,0.5713363460296965,0.6395283906890665,0.09042913461037505,0.6954621848739496,0.11229768062739842,0.24520419473100863,0.774637592885857,0.6535896148605035,0.15656565656565657,0.2216233106788532,0.6307375834597214,0.39160297722793935,0.46673640793680415
krippendorff_without_undetected,0.7233853993574831,0.8101367658889783,0.662032598274209,0.739803094233474,0.48405386250885896,1.0,1.0,-0.014354066985645897,-0.11267605633802824,0.21959459459459463,0.7587301587301587,0.6049382716049383,0.5727923627684963,1.0,0.8453038674033149,0.5562648456057007,0.29234445363477624,0.29554116558741905,1.0,0.4913194444444444,0.0,1.0,0.3138602520045819,0.13143957631198844,1.0,0.5765550239234449,1.0,0.519287453543509,0.415380840345838,1.0,1.0,-0.01724137931034475,0.6212278876170656,0.21054302953318504,0.2914979757085021,0.0,0.6585365853658536,0.4975247524752475,0.6141975308641976,0.11111111111111116,-0.11583011583011582,0.23913043478260865,0.36802973977695164,0.5226086956521739,1.0,1.0,-0.011363636363636465,1.0,1.0,0.0005305039787798504,0.4096264728002006,0.6480083224269271,0.8660264105642257,0.09868972515110064,0.4314328582145537,0.5129537559806372,1.0,0.47197744095875926,0.5383635784781917,0.3409772235957337,-0.0625,0.40823136818687433,0.241635687732342,0.324425263507345,0.8726114649681529,-0.024161073825503365,0.4269924374636417,0.9440613026819923,0.49022346368715086,0.21330031835868413,0.23631908521644418,0.43987197073616824,0.21126161265158505,-0.02333938164869953,0.8527851458885942,0.639871382636656,1.0,0.2408055294820377,0.4017165369638681,-0.008275148694078194,-0.054094590540945786,-0.0018192844147968401,0.707972027972028,0.6509898397402325,0.30361757105943155,0.32409713574097143,1.0,0.6080508474576272,0.9476868810202144,0.07019947208393207,0.8256880733944953,0.00042716787697572034,0.23096576392437396,0.8553437712729748,0.6783917872654547,0.07271885132005562,0.10925925925925928,0.7084223291475962,0.4903882314341591,0.5236518990123096
pure_detection_percent_agreement,0.9545454545454546,0.9438596491228074,0.9897119341563787,0.9540229885057473,0.9571428571428573,0.9714285714285712,0.9444444444444446,0.9780701754385966,0.9821428571428571,1.0,0.9597701149425287,0.9722222222222222,0.984126984126984,0.875,0.9833333333333334,0.9711538461538461,0.9863247863247864,0.9018987341772152,0.8678160919540229,0.9104477611940298,0.9393939393939397,0.9871794871794871,0.9753086419753086,0.9487179487179487,0.9428571428571428,0.9047619047619049,0.9666666666666666,0.9807162534435262,0.967741935483871,0.9230769230769231,0.9333333333333333,0.9230769230769231,0.965686274509804,0.975609756097561,0.9365079365079367,1.0,0.9901960784313725,0.972972972972973,0.9358974358974357,0.8713450292397662,0.9711934156378601,0.9561403508771926,0.958974358974359,0.957446808510638,0.9876543209876544,0.9909090909090911,0.8888888888888887,0.9852507374631267,0.976939203354298,0.989969135802469,0.9752650176678446,0.863984674329502,0.7662337662337663,0.9044414535666218,0.9884393063583815,0.9953051643192489,0.9880952380952381,1.0,0.9746031746031746,0.9388888888888888,0.9166666666666666,0.8818565400843886,0.9669966996699672,0.9654471544715447,0.7803921568627449,0.8839285714285712,0.9523809523809527,0.9033816425120771,0.9273504273504275,0.9510703363914375,0.9887005649717513,0.951338199513382,0.9884057971014493,0.9900990099009901,0.9047619047619048,0.9682539682539684,0.9853801169590644,0.9888888888888892,0.9892818863879957,0.981387478849408,0.996078431372549,0.9659090909090909,0.9375,0.9784313725490197,0.9901960784313725,0.9726775956284152,0.9947916666666667,0.9642857142857144,0.9795620437956204,0.9840098400984011,0.9603960396039606,0.9925093632958801,0.9824561403508775,0.9731182795698923,0.986111111111111,0.9523809523809524,0.9530516431924886,0.9782456140350878,0.9550491053687087,0.9456228821473358
pure_classification_percent_agreement,0.9517543859649124,0.9915611814345993,0.9936305732484076,0.9333333333333332,0.9562841530054643,1.0,1.0,0.9812206572769956,0.8930817610062891,0.9615384615384616,0.9411764705882352,0.9393939393939393,0.9611111111111109,1.0,0.9824561403508772,0.991812865497076,0.9019607843137256,0.9147982062780269,1.0,0.9897959183673469,0.9947089947089947,1.0,0.9683333333333333,0.8666666666666664,1.0,0.9,1.0,0.9035087719298246,0.8826530612244899,1.0,1.0,0.9666666666666668,0.9781420765027321,0.8070175438596493,0.8627450980392156,0.9803921568627452,0.9595959595959597,0.9950980392156863,0.9047619047619048,0.8285714285714286,0.7702702702702703,0.9494949494949495,0.8713450292397662,0.926829268292683,1.0,1.0,0.9777777777777779,1.0,1.0,0.9355608591885441,0.9732824427480916,0.9174757281553398,0.9710144927536233,0.9433962264150944,0.8942115768463073,0.9261904761904763,1.0,0.8703703703703705,0.9484536082474226,0.8401360544217688,0.888888888888889,0.9084967320261437,0.9890109890109892,0.9160997732426305,0.9693486590038317,0.9680365296803654,0.9747474747474747,0.9863945578231293,0.9890710382513661,0.9426523297491042,0.8070175438596491,0.9002849002849004,0.798798798798799,0.9166666666666667,0.96,0.9649122807017545,1.0,0.9057471264367817,0.8715393133997784,0.9874551971326165,0.8333333333333337,0.8818565400843886,0.9230769230769227,0.9706498951781973,0.7777777777777777,0.9226190476190477,1.0,0.9333333333333332,0.9989631933644376,0.7674418604651161,0.9775280898876404,0.931034482758621,0.8379629629629631,0.9707602339181287,0.9384057971014492,0.9027777777777778,0.7978142076502731,0.978978978978979,0.9366231021432023,0.9362665391359796
pure_detection_probability_of_agreement,0.9090909090909091,0.887719298245614,0.9794238683127572,0.9080459770114943,0.9142857142857143,0.9428571428571428,0.8888888888888888,0.956140350877193,0.9642857142857143,1.0,0.9195402298850575,0.9444444444444444,0.9682539682539683,0.75,0.9666666666666667,0.9423076923076923,0.9726495726495726,0.8037974683544303,0.735632183908046,0.8208955223880597,0.8787878787878788,0.9743589743589743,0.9506172839506173,0.8974358974358975,0.8857142857142857,0.8095238095238095,0.9333333333333333,0.9614325068870524,0.9354838709677419,0.8461538461538461,0.8666666666666667,0.8461538461538461,0.9313725490196079,0.9512195121951219,0.873015873015873,1.0,0.9803921568627451,0.9459459459459459,0.8717948717948718,0.7426900584795322,0.9423868312757202,0.9122807017543859,0.9179487179487179,0.9148936170212766,0.9753086419753086,0.9818181818181818,0.7777777777777778,0.9705014749262537,0.9538784067085954,0.9799382716049383,0.950530035335689,0.7279693486590039,0.5324675324675324,0.8088829071332436,0.976878612716763,0.9906103286384976,0.9761904761904762,1.0,0.9492063492063492,0.8777777777777778,0.8333333333333334,0.7637130801687764,0.933993399339934,0.9308943089430894,0.5607843137254902,0.7678571428571429,0.9047619047619048,0.8067632850241546,0.8547008547008547,0.9021406727828746,0.9774011299435028,0.902676399026764,0.9768115942028985,0.9801980198019802,0.8095238095238095,0.9365079365079365,0.9707602339181286,0.9777777777777777,0.9785637727759914,0.9627749576988156,0.9921568627450981,0.9318181818181818,0.875,0.9568627450980393,0.9803921568627451,0.9453551912568307,0.9895833333333334,0.9285714285714286,0.9591240875912409,0.968019680196802,0.9207920792079208,0.9850187265917603,0.9649122807017544,0.946236559139785,0.9722222222222222,0.9047619047619048,0.9061032863849765,0.9564912280701754,0.9100982107374169,0.8912457642946717
pure_classification_probability_of_agreement,0.9035087719298246,0.9831223628691983,0.9872611464968153,0.8666666666666667,0.912568306010929,1.0,1.0,0.9624413145539906,0.7861635220125787,0.9230769230769231,0.8823529411764706,0.8787878787878788,0.9222222222222223,1.0,0.9649122807017544,0.9836257309941521,0.803921568627451,0.8295964125560538,1.0,0.9795918367346939,0.9894179894179894,1.0,0.9366666666666666,0.7333333333333333,1.0,0.8,1.0,0.8070175438596491,0.7653061224489796,1.0,1.0,0.9333333333333333,0.9562841530054644,0.6140350877192983,0.7254901960784313,0.9607843137254902,0.9191919191919192,0.9901960784313726,0.8095238095238095,0.6571428571428571,0.5405405405405406,0.898989898989899,0.7426900584795322,0.8536585365853658,1.0,1.0,0.9555555555555556,1.0,1.0,0.8711217183770883,0.9465648854961832,0.8349514563106796,0.9420289855072463,0.8867924528301887,0.7884231536926147,0.8523809523809524,1.0,0.7407407407407407,0.8969072164948454,0.6802721088435374,0.7777777777777778,0.8169934640522876,0.978021978021978,0.8321995464852607,0.9386973180076629,0.9360730593607306,0.9494949494949495,0.9727891156462585,0.9781420765027322,0.8853046594982079,0.6140350877192983,0.8005698005698005,0.5975975975975976,0.8333333333333334,0.92,0.9298245614035088,1.0,0.8114942528735632,0.743078626799557,0.974910394265233,0.6666666666666666,0.7637130801687764,0.8461538461538461,0.9412997903563941,0.5555555555555556,0.8452380952380952,1.0,0.8666666666666667,0.997926386728875,0.5348837209302325,0.9550561797752809,0.8620689655172413,0.6759259259259259,0.9415204678362573,0.8768115942028986,0.8055555555555556,0.5956284153005464,0.9579579579579579,0.8732462042864051,0.8725330782719591
