,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
count,105,105.0,105.0,105.0,105.0,105.0,105.0,105.0
unique,105,,,,,,,
top,001.jpg,,,,,,,
freq,1,,,,,,,
mean,,3.780952380952381,84.71428571428571,12.371428571428572,100.86666666666666,0.04206876074236905,51.740818675100066,78.38455865521627
std,,10.638266335390865,105.25972586944111,22.701345750882236,114.36581545020235,0.09979028170547749,29.814111527864245,62.12023947252242
min,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,0.0,23.0,0.0,29.0,0.0,35.57671847750629,45.14587467310829
50%,,0.0,54.0,3.0,61.0,0.0,43.12977662333701,59.90168797473258
75%,,2.0,104.0,14.0,115.0,0.03571428571428571,65.87227895580551,105.08579231348949
max,,80.0,643.0,120.0,657.0,0.6875,176.89592092325282,378.6038217818953
