,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
0,001.jpg,0,63,17,80,0.0,45.768575463957795,64.26176935005758
1,006.jpg,0,76,3,79,0.0,46.40718244279091,58.20859478057441
2,011.jpg,2,157,2,161,0.012422360248447204,36.03721204774189,44.00125068804069
3,016.jpg,2,17,6,25,0.08,75.20412222744176,110.75197515168747
4,021.jpg,0,60,7,67,0.0,49.76875845257191,67.47611778727189
5,026.jpg,0,32,0,32,0.0,47.92788854101545,58.746010502841806
6,031.jpg,0,10,19,29,0.0,79.78897923207535,150.69436984654826
7,036.jpg,0,71,2,73,0.0,32.80455092885491,39.90591675153976
8,041.jpg,0,39,17,56,0.0,45.19228462122394,62.74431960629697
9,046.jpg,1,25,0,26,0.038461538461538464,83.40188846782787,126.31690915495652
10,051.jpg,15,36,2,53,0.2830188679245283,74.51561505344,108.41698241268152
11,056.jpg,1,10,0,11,0.09090909090909091,78.5829035304291,114.46555655027252
12,061.jpg,6,54,1,61,0.09836065573770492,75.98253088704007,115.18794905092015
13,066.jpg,0,7,0,7,0.0,75.17904343251895,189.43977557901766
14,071.jpg,1,17,1,19,0.05263157894736842,84.19274409291302,133.67668969727316
15,076.jpg,1,293,6,300,0.0033333333333333335,42.62688921326538,54.668178111219326
16,081.jpg,0,149,45,194,0.0,37.81328860811798,46.768400645832145
17,086.jpg,0,226,4,230,0.0,32.496889483256034,40.090929257073256
18,091.jpg,0,92,9,101,0.0,41.38511474881128,61.42636257993778
19,096.jpg,1,110,1,112,0.008928571428571428,63.5782672886622,119.13480022646614
20,101.jpg,0,71,0,71,0.0,42.52118797447414,61.31554391304144
21,106.jpg,0,50,2,52,0.0,57.14968537500044,85.58700027097933
22,111.jpg,1,191,17,209,0.004784688995215311,45.391907990354234,61.964629129511415
23,116.jpg,0,46,9,55,0.0,63.50856635131988,137.60811286865584
24,121.jpg,0,24,6,30,0.0,73.40265662767254,297.77698590276134
25,126.jpg,0,6,22,28,0.0,70.32450294375151,129.97582192744267
26,131.jpg,0,3,6,9,0.0,79.34453702401669,152.2286292244516
27,136.jpg,28,87,5,120,0.23333333333333334,35.189650952612,42.095059260757274
28,141.jpg,80,119,0,199,0.4020100502512563,34.56135117766854,40.99973240505884
29,146.jpg,0,20,0,20,0.0,38.650355755154436,45.14587467310829
30,151.jpg,0,4,1,5,0.0,45.0757806366124,62.456192647326816
31,156.jpg,0,23,1,24,0.0,38.1501965918919,58.40804739074916
32,161.jpg,3,60,1,64,0.046875,86.49696481307885,120.7546272405327
33,166.jpg,0,30,10,40,0.0,41.94254999400967,54.723845350998495
34,171.jpg,0,12,7,19,0.0,115.02643288895773,241.2326361354162
35,176.jpg,0,17,0,17,0.0,96.93645583880317,129.79146169687652
36,181.jpg,6,26,1,33,0.18181818181818182,84.23730908821959,112.51478017387653
37,186.jpg,0,68,1,69,0.0,96.44684952142656,130.6848904032526
38,191.jpg,0,27,20,47,0.0,48.927350637711136,71.30984058199672
39,196.jpg,0,16,24,40,0.0,102.80131900296804,230.86199215656958
40,201.jpg,5,21,50,76,0.06578947368421052,31.48371968594496,38.665694369203194
41,206.jpg,0,34,0,34,0.0,32.877446229721606,38.732870976957635
