,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
count,105,105.0,105.0,105.0,105.0,105.0,105.0,105.0
unique,105,,,,,,,
top,001.jpg,,,,,,,
freq,1,,,,,,,
mean,,3.0761904761904764,95.45714285714286,21.83809523809524,120.37142857142857,0.035865051924643364,54.637597768098374,80.99651685032565
std,,8.011644455818475,115.14673152208786,53.39351801078259,140.15940493312885,0.09030943646395212,28.05157902514072,55.542529909268325
min,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,0.0,26.0,1.0,34.0,0.0,37.84471282327607,46.65660468719837
50%,,0.0,63.0,6.0,69.0,0.0,44.59741344197313,61.91833081217579
75%,,1.0,111.0,17.0,153.0,0.013071895424836602,68.05222662100722,109.08102088652755
max,,42.0,707.0,391.0,741.0,0.6666666666666666,174.43344067046874,373.1793055346322
