,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
0,001.jpg,0,62,23,85,0.0,44.21322932176323,67.27240497104466
1,006.jpg,0,81,11,92,0.0,41.82884881197165,53.077610669168465
2,011.jpg,2,155,0,157,0.012738853503184714,38.225335913926045,45.23323562487589
3,016.jpg,3,13,9,25,0.12,76.65554122175382,115.97628895597582
4,021.jpg,0,60,5,65,0.0,50.30335760318437,64.79345260132384
5,026.jpg,0,32,0,32,0.0,48.34786060416738,60.799362661133216
6,031.jpg,0,10,17,27,0.0,84.51466232641617,146.57518611683625
7,036.jpg,0,71,0,71,0.0,35.31303174845804,41.5068227888882
8,041.jpg,0,53,0,53,0.0,47.653129537491886,61.289754137736196
9,046.jpg,0,26,0,26,0.0,86.91452476648891,127.55195020069274
10,051.jpg,12,38,6,56,0.21428571428571427,75.54453918053906,110.5845469539031
11,056.jpg,3,8,0,11,0.2727272727272727,78.37642270711031,116.05993749312934
12,061.jpg,4,56,0,60,0.06666666666666667,79.55139847922223,116.171496791023
13,066.jpg,0,5,1,6,0.0,55.810691926667005,81.68231142664855
14,071.jpg,1,17,1,19,0.05263157894736842,85.44835313001403,137.6454254884438
15,076.jpg,1,284,3,288,0.003472222222222222,42.26312271140698,52.97545076757515
16,081.jpg,0,186,3,189,0.0,38.37986754542326,46.435767207945176
17,086.jpg,0,236,40,276,0.0,33.09703454468654,39.75545263850927
18,091.jpg,0,68,9,77,0.0,46.486766724730174,95.25468253820672
19,096.jpg,0,116,2,118,0.0,66.99717645201454,121.50618907302972
20,101.jpg,0,65,1,66,0.0,43.783036877103655,60.55133059119045
21,106.jpg,0,50,0,50,0.0,61.42890199246606,87.57613830262214
22,111.jpg,0,203,6,209,0.0,47.174555727997806,63.04855461653701
23,116.jpg,0,55,5,60,0.0,63.89425248017228,142.00917458624522
24,121.jpg,0,24,10,34,0.0,71.01286337492583,109.08102088652755
25,126.jpg,0,7,16,23,0.0,78.62065775664152,138.02475518354765
26,131.jpg,0,3,6,9,0.0,79.13244874540686,150.9790272410929
27,136.jpg,38,77,5,120,0.31666666666666665,34.9827933895127,41.839474980772245
28,141.jpg,36,166,11,213,0.16901408450704225,36.27741572960758,44.46197879858078
29,146.jpg,0,26,0,26,0.0,36.29372959193237,43.26133021888823
30,151.jpg,0,4,0,4,0.0,44.91519787332568,59.95831885568507
31,156.jpg,0,21,0,21,0.0,43.81535934219545,62.46637190559109
32,161.jpg,2,59,3,64,0.03125,87.91377967218791,121.97294974194074
33,166.jpg,0,9,30,39,0.0,40.94385931229023,53.36535176714166
34,171.jpg,0,13,4,17,0.0,117.6019338451441,256.7637289530637
35,176.jpg,0,17,0,17,0.0,96.01899321917269,129.13057686835035
36,181.jpg,2,30,2,34,0.058823529411764705,83.85105843100611,112.153256489397
37,186.jpg,0,71,1,72,0.0,97.00689408490513,130.3925696587893
38,191.jpg,0,23,26,49,0.0,49.45086202587414,71.68568012297769
39,196.jpg,0,9,39,48,0.0,101.59070351989234,236.34338057510024
40,201.jpg,0,69,8,77,0.0,31.865453752569458,37.87673102640661
41,206.jpg,0,31,5,36,0.0,31.42874657238355,38.99695144780195
42,211.jpg,0,52,12,64,0.0,34.13544789694432,46.65660468719837
43,216.jpg,0,36,6,42,0.0,37.8732221019146,46.16507647252721
44,221.jpg,0,26,0,26,0.0,49.32596445312316,68.2686153818418
45,226.jpg,0,0,0,0,0.0,0.0,0.0
46,231.jpg,0,52,1,53,0.0,47.21183115431339,61.91833081217579
47,236.jpg,0,108,0,108,0.0,35.041665015193516,43.76593889553162
48,241.jpg,0,31,0,31,0.0,33.22528186244189,40.69715056998621
49,246.jpg,0,110,0,110,0.0,25.13627494641595,29.382879987564806
50,251.jpg,0,158,0,158,0.0,39.181092661536354,63.78813548365411
51,256.jpg,0,344,80,424,0.0,33.36934833074909,44.407698688743025
52,261.jpg,0,288,274,562,0.0,36.854058453122796,43.96044911191191
53,266.jpg,0,251,22,273,0.0,37.52642737412131,46.70510863806841
54,271.jpg,0,0,0,0,0.0,0.0,0.0
55,276.jpg,0,118,99,217,0.0,43.178031048293235,71.5059660654222
56,281.jpg,0,236,391,627,0.0,37.84471282327607,53.06388404059473
57,286.jpg,0,707,34,741,0.0,31.868622093786016,41.353018616758156
58,291.jpg,42,221,73,336,0.125,35.80053641690436,44.185033018626825
59,296.jpg,11,245,26,282,0.03900709219858156,38.46462584621566,48.473407233917946
60,301.jpg,0,27,0,27,0.0,61.16341196305977,86.94783450969855
61,306.jpg,0,26,10,36,0.0,37.33266926492726,45.233800046720226
62,311.jpg,6,89,4,99,0.06060606060606061,37.11506269411219,45.02004155278115
63,316.jpg,0,66,165,231,0.0,38.80741103855231,50.97461383288014
64,321.jpg,4,88,12,104,0.038461538461538464,42.14740616163522,53.2699944405132
65,326.jpg,0,95,121,216,0.0,40.50655153913491,52.69320973191756
66,331.jpg,0,4,2,6,0.0,47.27754928786671,59.339419163543106
67,336.jpg,0,53,16,69,0.0,33.589787105995285,43.23805353982812
68,341.jpg,0,90,3,93,0.0,47.17609313456192,66.5785745429567
69,346.jpg,2,140,11,153,0.013071895424836602,46.75546197165638,66.81185938325895
70,351.jpg,0,47,152,199,0.0,44.00236910593194,84.41527249646985
71,356.jpg,0,90,14,104,0.0,34.92642487870312,45.56966514832832
72,361.jpg,0,68,1,69,0.0,90.74432868452881,130.70106560669137
73,366.jpg,0,33,22,55,0.0,144.111091933209,268.0024979530805
74,371.jpg,0,128,3,131,0.0,64.00614235791737,99.69093460665364
75,376.jpg,0,89,4,93,0.0,53.29732991758674,79.435508432942
76,381.jpg,16,39,3,58,0.27586206896551724,84.54316179855442,115.60922660351149
77,386.jpg,0,98,19,117,0.0,87.69908973642937,125.7204845244395
78,391.jpg,12,96,6,114,0.10526315789473684,78.58621118895533,103.82439140624516
79,396.jpg,0,197,3,200,0.0,38.86427846364834,48.84406310904121
80,401.jpg,1,14,14,29,0.034482758620689655,174.43344067046874,373.1793055346322
81,406.jpg,2,17,0,19,0.10526315789473684,83.73714355366032,117.75532170341043
82,411.jpg,0,111,0,111,0.0,88.31171611486866,125.512566288784
83,416.jpg,12,109,27,148,0.08108108108108109,55.927898202035955,71.19267157851633
84,421.jpg,19,266,23,308,0.06168831168831169,47.8429436419956,64.80291440405855
85,426.jpg,0,190,0,190,0.0,35.18882373409878,42.30673705215282
86,431.jpg,18,66,1,85,0.21176470588235294,42.45035162329255,55.54563571567818
87,436.jpg,0,80,8,88,0.0,41.71661937868845,60.2394731844947
88,441.jpg,6,9,27,42,0.14285714285714285,103.84208477986452,127.72701545166738
89,446.jpg,0,151,13,164,0.0,40.665311624432384,49.777130486923355
90,451.jpg,22,2,9,33,0.6666666666666666,144.84059105852137,219.55024274846315
91,456.jpg,0,54,6,60,0.0,40.75207844392725,52.53294014235259
92,461.jpg,0,63,0,63,0.0,44.59741344197313,62.566258212127934
93,466.jpg,4,17,5,26,0.15384615384615385,68.05222662100722,105.08579231348949
94,471.jpg,0,644,26,670,0.0,30.457555209313142,41.41891212708327
95,476.jpg,0,141,124,265,0.0,41.84365077735639,55.00034993027618
96,481.jpg,0,0,0,0,0.0,0.0,0.0
97,486.jpg,0,79,18,97,0.0,37.75176635452436,48.51678966483092
98,491.jpg,0,88,1,89,0.0,47.512538067288155,67.32610791321278
99,496.jpg,0,71,3,74,0.0,43.15737856177463,55.96592351238917
100,501.jpg,4,41,17,62,0.06451612903225806,39.46262012457832,47.22885258111859
101,506.jpg,31,143,12,186,0.16666666666666666,48.435898058144076,60.71523836200298
102,511.jpg,0,35,14,49,0.0,56.93946481186159,102.83434271106286
103,516.jpg,7,54,8,69,0.10144927536231885,44.1989300316425,61.51514386423625
104,521.jpg,0,423,40,463,0.0,51.21195348554493,76.03481354086684
105,whole_dataset,323,10023,2293,12639,0.035865051924643364,54.637597768098374,80.99651685032565
