,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes
0,001.jpg,0,57,25,82,0.0,45.93013517368712,65.52761473365963
1,004.jpg,0,71,5,76,0.0,43.43056391044154,55.164467015032706
2,008.jpg,3,154,3,160,0.01875,38.43561987271703,46.09406143962582
3,009.jpg,0,156,3,159,0.0,39.11384408035265,46.16711508989132
4,010.jpg,4,112,3,119,0.03361344537815126,38.17826386745177,46.88874728384988
5,011.jpg,3,158,1,162,0.018518518518518517,37.955017235318614,45.788968427227424
6,014.jpg,1,12,1,14,0.07142857142857142,74.48561702004719,114.24753826669527
7,015.jpg,0,22,0,22,0.0,73.68776264507129,99.962720323856
8,016.jpg,1,18,10,29,0.034482758620689655,72.71531641531453,102.01233867223763
9,017.jpg,1,42,5,48,0.020833333333333332,73.31687788860988,105.93905480668276
10,018.jpg,0,40,12,52,0.0,48.35919389956148,63.855841248381196
11,019.jpg,0,87,22,109,0.0,48.83397260856365,66.74578638386096
12,020.jpg,0,108,27,135,0.0,48.421354716618495,66.91680849576778
13,024.jpg,0,23,2,25,0.0,48.72984301226508,61.4461520357459
14,025.jpg,0,27,3,30,0.0,45.512412226409914,58.883475327689915
15,026.jpg,0,33,2,35,0.0,48.12557977387315,61.106464469808756
16,027.jpg,0,31,1,32,0.0,48.1294559625392,58.68247981723336
17,028.jpg,0,46,0,46,0.0,48.066869182873546,58.805685912606904
18,029.jpg,0,27,10,37,0.0,85.49970444077255,154.56745225725012
19,030.jpg,1,13,5,19,0.05263157894736842,91.54679562646464,154.05398916921098
20,031.jpg,0,10,18,28,0.0,83.82919816081812,146.13636611056128
21,032.jpg,0,9,25,34,0.0,76.64901480507258,142.08981728635794
22,033.jpg,0,100,55,155,0.0,47.04889632245682,68.63674507283652
23,034.jpg,0,58,7,65,0.0,16.13071604114337,18.751410203378963
24,035.jpg,0,60,1,61,0.0,16.54229551735812,19.86099233153879
25,036.jpg,0,67,8,75,0.0,32.50068306974486,39.12750098502757
26,037.jpg,0,38,153,191,0.0,51.90472292364256,80.67296691967537
27,038.jpg,0,18,37,55,0.0,52.064824105060694,78.08872110385958
28,039.jpg,0,15,18,33,0.0,21.29660664391054,28.67107083857007
29,040.jpg,0,70,1,71,0.0,48.23496554791401,62.47856195708535
30,041.jpg,0,56,0,56,0.0,45.72257179368383,62.37974144589847
31,043.jpg,0,139,18,157,0.0,35.47803600614757,57.367339134415644
32,046.jpg,3,23,0,26,0.11538461538461539,82.97263914179088,125.39456343263666
33,047.jpg,3,21,1,25,0.12,77.80777853145531,115.66151823316171
34,055.jpg,1,7,0,8,0.125,75.26245744061245,105.55567251455508
35,057.jpg,0,6,0,6,0.0,87.71449899151983,143.28875275703487
36,059.jpg,3,24,3,30,0.1,80.0653451875404,124.61262375859037
37,060.jpg,7,22,2,31,0.22580645161290322,80.33206787474263,124.39779066599472
38,061.jpg,7,55,1,63,0.1111111111111111,75.79303538909141,116.932222194319
39,062.jpg,1,22,2,25,0.04,79.32616214087254,114.46344394609136
40,063.jpg,5,33,3,41,0.12195121951219512,74.50742965081223,112.55947262691302
41,064.jpg,7,28,0,35,0.2,74.88882426637502,114.83429054822555
42,065.jpg,0,6,0,6,0.0,54.64811677145578,87.02490065109717
43,066.jpg,0,6,0,6,0.0,55.51126011900649,81.5485540439968
44,069.jpg,3,25,1,29,0.10344827586206896,81.71048554669017,126.32688850209479
45,070.jpg,4,23,5,32,0.125,80.21163802715913,125.9990079326024
46,071.jpg,2,17,1,20,0.1,82.3585150424654,130.65259277947757
47,072.jpg,3,12,0,15,0.2,82.7349986402369,135.25777858099943
48,073.jpg,1,93,14,108,0.009259259259259259,31.954356474277276,44.98986769674224
49,074.jpg,0,119,9,128,0.0,31.962932871286622,41.6849160087465
50,075.jpg,0,124,8,132,0.0,34.182223328313015,42.78420854424651
51,077.jpg,0,268,7,275,0.0,41.85836290939417,54.25102998603303
52,078.jpg,3,254,9,266,0.011278195488721804,43.09647225762953,57.30825302398994
53,079.jpg,3,19,3,25,0.12,42.44262715714002,54.59678378805843
54,080.jpg,0,25,4,29,0.0,42.720896526173235,54.376719156334694
55,081.jpg,0,140,49,189,0.0,38.52240604110506,46.94080534406292
56,083.jpg,0,159,24,183,0.0,38.32589474037459,47.62905964224333
57,085.jpg,0,47,2,49,0.0,39.70702785684784,47.909779155987664
58,088.jpg,0,164,12,176,0.0,31.599981255388563,43.22242621418779
59,089.jpg,0,157,20,177,0.0,40.11266211742737,60.276993760772086
60,091.jpg,0,97,13,110,0.0,43.31827801286658,61.959228903881915
61,093.jpg,0,43,6,49,0.0,39.16871316262927,60.20925803446862
62,094.jpg,0,46,6,52,0.0,41.43252160023387,62.33840648490241
63,095.jpg,0,78,11,89,0.0,63.63454387482717,123.0571349715884
64,096.jpg,0,111,7,118,0.0,64.24233644858259,120.64742590692143
65,100.jpg,0,54,2,56,0.0,47.6921632713384,67.71618771439682
66,101.jpg,0,70,3,73,0.0,44.55071091633314,66.01079586880374
