,file_names,viable,nonviable,empty,total,viability_ratio,avg_segm_sizes,avg_bbox_sizes,set
127,210.jpg,0,140,47,187,0.0,37.40911803691,46.20728581113681,train
128,214.jpg,0,27,8,35,0.0,37.72842997755709,48.05965043568253,train
129,215.jpg,0,36,18,54,0.0,40.02314145406195,50.35374861914453,train
130,217.jpg,7,60,19,86,0.0813953488372093,37.73265503266307,47.49895959692904,train
131,219.jpg,0,31,0,31,0.0,52.54255725200902,74.5510866193715,train
132,222.jpg,0,6,12,18,0.0,177.78409982335316,364.01454698496144,train
133,224.jpg,1,14,18,33,0.0303030303030303,170.60120703239204,339.0296060505452,train
134,225.jpg,0,6,8,14,0.0,153.27813167572208,293.65547899342374,train
135,226.jpg,1,19,8,28,0.0357142857142857,47.29554116706685,58.89867206846493,train
136,227.jpg,0,29,21,50,0.0,52.67731959771682,62.564846359597176,train
137,228.jpg,0,18,14,32,0.0,49.02645969270064,60.86999466075219,train
138,229.jpg,0,30,13,43,0.0,48.83254014224722,61.38453520872092,train
139,230.jpg,2,30,25,57,0.0350877192982456,50.01981186437399,60.78153286025374,train
140,231.jpg,1,32,18,51,0.0196078431372549,51.95926005903426,65.10127856339102,train
141,232.jpg,0,83,1,84,0.0,50.41515739574852,92.80533069151744,train
142,234.jpg,0,65,4,69,0.0,50.58714697559485,87.85403926111056,train
143,236.jpg,0,107,0,107,0.0,34.55382859482792,43.37500170486678,train
144,237.jpg,0,170,2,172,0.0,34.86055610705348,44.9724140252201,train
145,240.jpg,0,125,42,167,0.0,42.15655666039481,51.47373029205908,train
146,241.jpg,0,35,5,40,0.0,33.28139279312091,41.46332738095196,train
147,242.jpg,0,39,3,42,0.0,34.11378020683137,40.71182114512173,train
148,244.jpg,0,10,2,12,0.0,34.801911824879205,49.1226670353582,train
149,247.jpg,0,200,6,206,0.0,25.927382720924253,30.99863839790825,train
150,250.jpg,0,280,0,280,0.0,39.756863738047976,62.65992510596955,train
151,251.jpg,0,149,0,149,0.0,41.00248035957805,63.06475704017984,train
152,252.jpg,0,217,3,220,0.0,35.68956056302485,66.19332051924603,train
153,255.jpg,0,361,19,380,0.0,34.031683380112284,44.6367791471515,train
154,258.jpg,0,280,13,293,0.0,38.06559808869196,56.08168633323647,train
155,259.jpg,0,524,27,551,0.0,36.8793367747271,67.97473538080706,train
156,260.jpg,0,497,7,504,0.0,36.76628782777669,57.27471394204302,train
157,261.jpg,0,302,252,554,0.0,35.469482230152295,43.03445076991911,train
158,264.jpg,0,135,21,156,0.0,38.01255163404279,50.76953155796678,train
159,265.jpg,0,183,37,220,0.0,35.93637211668828,44.60820450422668,train
160,267.jpg,0,232,11,243,0.0,33.54022329997738,40.03146923631591,train
161,268.jpg,0,197,14,211,0.0,34.93126652842151,41.97079835661865,train
162,269.jpg,0,161,12,173,0.0,35.34539571522571,42.39414322484635,train
163,270.jpg,0,80,35,115,0.0,49.27802314640261,60.04060944568014,train
164,271.jpg,0,245,17,262,0.0,47.459471335716,62.24540522912037,train
165,272.jpg,2,111,31,144,0.0138888888888888,52.46303592901281,65.61993155030464,train
166,273.jpg,0,187,3,190,0.0,46.77244540550051,61.59607672913148,train
167,276.jpg,0,148,174,322,0.0,41.06102128471842,65.00478792686081,train
168,277.jpg,21,156,270,447,0.046979865771812,45.36520461443078,67.0891293367844,train
169,278.jpg,0,326,55,381,0.0,45.59100644607886,68.01354909789951,train
170,279.jpg,0,210,26,236,0.0,46.26337094857468,67.60825656628192,train
171,282.jpg,0,148,449,597,0.0,38.06813186008191,54.7697632656396,train
172,286.jpg,0,656,63,719,0.0,29.49560255760915,35.4994133039337,train
173,287.jpg,4,52,4,60,0.0666666666666666,34.21024578494967,42.68423791830735,train
174,291.jpg,0,254,88,342,0.0,35.93053788397244,44.918308566156455,train
175,292.jpg,3,466,48,517,0.0058027079303675,36.08724786422381,46.25907135671121,train
176,293.jpg,32,355,95,482,0.0663900414937759,37.44637133476458,47.30102658698406,train
177,298.jpg,0,57,13,70,0.0,54.40534309369676,72.35448450905741,train
178,300.jpg,0,58,0,58,0.0,60.5504797953598,91.36771198351992,train
179,301.jpg,0,28,0,28,0.0,61.64008436074695,88.6721489533213,train
180,302.jpg,0,43,0,43,0.0,60.22765821409204,88.1905613786366,train
181,303.jpg,5,200,0,205,0.024390243902439,36.02644861764757,44.83794125079514,train
182,304.jpg,0,84,9,93,0.0,38.0014148010534,45.4323318154984,train
183,305.jpg,1,214,18,233,0.0042918454935622,34.86429854886975,42.23229242659165,train
184,306.jpg,1,15,20,36,0.0277777777777777,37.66869463567268,45.280299861590535,train
185,309.jpg,0,114,16,130,0.0,37.832134168841584,47.12237601754035,train
186,312.jpg,0,118,14,132,0.0,37.48176779509545,45.767387224237886,train
187,313.jpg,0,148,31,179,0.0,44.54832780000319,56.603303020664455,train
188,314.jpg,0,38,16,54,0.0,46.68144607236806,56.70635864796039,train
189,316.jpg,0,159,58,217,0.0,46.37362702204481,57.81509036742524,train
190,317.jpg,0,139,59,198,0.0,43.25950138817524,52.567458440262136,train
191,318.jpg,0,4,45,49,0.0,47.80306112647207,77.10991360071806,train
192,322.jpg,2,116,11,129,0.0155038759689922,42.78756582857786,56.29218073945174,train
193,323.jpg,0,80,6,86,0.0,42.895288948245685,55.29140561501146,train
194,324.jpg,0,61,10,71,0.0,43.88629674800006,55.21315928061425,train
195,326.jpg,0,208,31,239,0.0,39.5800845910454,53.34270663796912,train
196,328.jpg,0,166,23,189,0.0,40.90936845654339,54.774770753615314,train
197,329.jpg,0,109,73,182,0.0,41.21652744822288,55.64006332404104,train
198,331.jpg,0,6,1,7,0.0,48.71491411408684,82.59280494432568,train
199,333.jpg,0,122,84,206,0.0,33.66448576678022,43.86660143941698,train
200,334.jpg,0,214,84,298,0.0,31.04941451046949,38.92520350345306,train
201,335.jpg,0,62,9,71,0.0,37.20466776522977,47.89000998473512,train
202,336.jpg,0,55,18,73,0.0,38.42651138728652,48.75227924422457,train
203,341.jpg,0,99,0,99,0.0,48.15559903777409,62.898274245247,train
204,342.jpg,7,148,4,159,0.0440251572327044,49.38857194411724,65.66541393626771,train
205,344.jpg,1,53,9,63,0.0158730158730158,39.12264143709975,53.314602365551096,train
206,345.jpg,5,160,23,188,0.026595744680851,41.1572810413026,54.94746220883625,train
