,001.jpg,006.jpg,011.jpg,016.jpg,021.jpg,026.jpg,031.jpg,036.jpg,041.jpg,046.jpg,051.jpg,056.jpg,061.jpg,066.jpg,071.jpg,076.jpg,081.jpg,086.jpg,091.jpg,096.jpg,101.jpg,106.jpg,111.jpg,116.jpg,121.jpg,126.jpg,131.jpg,136.jpg,141.jpg,146.jpg,151.jpg,156.jpg,161.jpg,166.jpg,171.jpg,176.jpg,181.jpg,186.jpg,191.jpg,196.jpg,201.jpg,206.jpg,211.jpg,216.jpg,221.jpg,236.jpg,241.jpg,246.jpg,251.jpg,256.jpg,266.jpg,276.jpg,281.jpg,286.jpg,291.jpg,296.jpg,301.jpg,306.jpg,321.jpg,326.jpg,331.jpg,336.jpg,341.jpg,346.jpg,351.jpg,356.jpg,361.jpg,366.jpg,371.jpg,376.jpg,381.jpg,386.jpg,391.jpg,396.jpg,401.jpg,411.jpg,416.jpg,421.jpg,426.jpg,431.jpg,436.jpg,441.jpg,446.jpg,451.jpg,456.jpg,461.jpg,466.jpg,471.jpg,476.jpg,486.jpg,491.jpg,496.jpg,501.jpg,506.jpg,511.jpg,516.jpg,521.jpg,per_img_mean,dataset_total
same_label,57.0,76.0,150.0,20.0,49.0,32.0,10.0,65.0,36.0,23.0,39.0,9.0,49.0,5.0,18.0,257.0,133.0,164.0,70.0,75.0,56.0,50.0,180.0,33.0,28.0,7.0,8.0,80.0,123.0,20.0,4.0,18.0,3.0,15.0,8.0,16.0,29.0,65.0,22.0,17.0,21.0,21.0,31.0,34.0,26.0,104.0,28.0,108.0,140.0,337.0,231.0,102.0,123.0,440.0,225.0,207.0,27.0,18.0,82.0,86.0,4.0,37.0,85.0,105.0,58.0,64.0,60.0,40.0,118.0,76.0,23.0,71.0,35.0,133.0,17.0,106.0,93.0,158.0,162.0,33.0,42.0,23.0,126.0,10.0,35.0,61.0,18.0,604.0,58.0,68.0,64.0,32.0,45.0,133.0,32.0,18.0,393.0,79.89690721649484,7750.0
different_label,7.0,2.0,6.0,4.0,8.0,0.0,0.0,4.0,17.0,2.0,9.0,2.0,10.0,0.0,1.0,6.0,52.0,55.0,0.0,2.0,2.0,0.0,19.0,20.0,0.0,1.0,0.0,31.0,67.0,0.0,0.0,2.0,1.0,21.0,7.0,1.0,4.0,1.0,11.0,8.0,51.0,4.0,19.0,8.0,0.0,0.0,2.0,0.0,0.0,80.0,12.0,22.0,5.0,89.0,104.0,64.0,0.0,12.0,14.0,76.0,2.0,14.0,2.0,33.0,6.0,7.0,5.0,1.0,4.0,15.0,33.0,32.0,61.0,45.0,2.0,0.0,33.0,105.0,6.0,42.0,26.0,9.0,14.0,22.0,5.0,0.0,4.0,0.0,139.0,5.0,16.0,35.0,4.0,26.0,14.0,29.0,22.0,18.175257731958762,1763.0
not_labeled,23.0,12.0,6.0,2.0,13.0,1.0,19.0,2.0,3.0,1.0,8.0,0.0,2.0,2.0,1.0,37.0,9.0,87.0,43.0,40.0,9.0,3.0,18.0,12.0,9.0,20.0,4.0,9.0,27.0,6.0,0.0,5.0,117.0,6.0,4.0,0.0,1.0,3.0,19.0,25.0,9.0,13.0,14.0,3.0,1.0,4.0,12.0,2.0,16.0,10.0,36.0,172.0,502.0,211.0,16.0,12.0,1.0,6.0,8.0,42.0,1.0,23.0,14.0,23.0,160.0,41.0,12.0,28.0,34.0,15.0,2.0,28.0,15.0,16.0,14.0,10.0,22.0,43.0,21.0,7.0,15.0,11.0,22.0,1.0,18.0,1.0,5.0,61.0,68.0,18.0,9.0,7.0,2.0,28.0,9.0,17.0,49.0,26.47422680412371,2568.0
krippendorff_with_undetected,0.5081166849749787,0.6023549801202976,0.4621569171056279,0.7119700748129676,0.4272478141719953,0.4948453608247423,0.34112903225806457,-0.01760000000000006,-0.10926602457655266,0.3739837398373984,0.6345733041575492,0.6049382716049383,0.46153846153846156,0.5918367346938775,0.756701030927835,0.33987591373364356,0.3171903499370077,0.3052884109514089,0.3565040290445408,0.17452830188679236,0.2693457323148456,0.5478331970564186,0.4028912633563796,0.2742028318176585,0.6910112359550562,0.18967921896792184,0.6344647519582245,0.5016110787371885,0.40876617839343576,-0.06944444444444442,1.0,0.28846153846153855,-0.22377205193034277,0.2160775370581528,0.2467836257309941,0.0,0.6502770083102494,0.32125205930807244,0.35863519196852534,0.10859318346627977,-0.00020665426741062198,0.18988119623105282,0.3092410666090899,0.5356017643352237,0.49367088607594944,0.1899686520376176,0.2830300632911392,0.495398773006135,0.26995603321934547,0.06386623889836185,0.36736958934517205,0.29130436477158905,0.13445197063565928,0.14749475452127603,0.4007030791650107,0.481989571438838,0.0,0.33409760890926965,0.46189723914842407,0.283128483162546,0.3023255813953488,0.36370710450548593,0.4188815393866506,0.37186022373428673,0.22391372303844947,0.3017012675285299,0.3543593130779392,0.5416602731318092,0.38855876724745686,0.322879229673832,0.23893916540975368,0.38694379981838356,0.1640364382858609,0.12400275429765406,0.5027675276752768,0.3053053053053053,0.22103159097057312,0.33302344848846843,0.060089796420443986,-0.032688172043010555,0.18485664501821653,0.5132154401977562,0.3914892133969958,0.2929736511919697,0.1722488038277512,0.4972826086956522,0.489247311827957,0.3909895656005288,0.06243542435424354,0.48476543607931644,0.18740453530724954,0.2231335788416472,0.7703393770339377,0.5996928860766196,0.1403828623518687,0.11129047573829642,0.574549542898366,0.33883529114240096,0.41866998534555644
krippendorff_without_undetected,0.758176291793313,0.7379385964912281,0.5908506075768406,0.779622641509434,0.38699956952216963,,1.0,-0.014492753623188248,-0.10810810810810811,0.4794520547945206,0.739307931570762,0.6049382716049383,0.4905552375500859,,0.8453038674033149,0.42920761670761676,0.3110341151385928,0.3796571428571428,1.0,-0.0036900369003689537,-0.0027100271002709064,0.0,0.3294117647058823,0.2313725490196079,1.0,0.9182209469153515,1.0,0.5403997984209643,0.4166527173306551,,1.0,-0.016129032258064502,0.6088362068965517,0.21054302953318504,0.2857142857142857,0.0,0.6585365853658536,0.49750000000000005,0.6186693147964251,0.024390243902438935,-0.08302104352839446,0.23588039867109634,0.3634055848467096,0.5943396226415094,,,-0.021052631578947212,,,0.021551558844959184,0.22802290333445607,0.6184825189726106,0.7482617316589557,0.25225820116367437,0.4243197633234719,0.5108240096213419,,0.42072920934043434,0.5425097368671037,0.29894626709513483,-0.0625,0.5199677289229527,-0.0037735849056603765,0.3794930974056502,0.9063164477798624,0.24853711117955046,0.42743764172335597,0.9711205236811706,0.48544973544973546,0.1823529411764706,0.23403378656777918,0.4415475189234651,0.1834347774197399,0.06227824147602479,0.8485273492286115,,0.23316158380912588,0.3695176693070241,-0.007790588968526135,-0.06760162156239735,-0.037506894649751876,0.6942736978324167,0.4159525379037575,0.28984029901461095,0.04345679012345682,,0.6260245901639344,,0.0020504530565362833,0.6024915062287656,-0.0029565612917898942,0.18303674601340425,0.8125,0.7352130676145214,0.07588684328693307,0.15048543689320393,0.7367307410602386,0.40189080084034245,0.5072161326735263
pure_detection_percent_agreement,0.9118773946360156,0.9555555555555556,0.9876543209876543,0.9743589743589745,0.9380952380952382,0.9898989898989898,0.781609195402299,0.9906103286384977,0.9821428571428571,0.9871794871794872,0.9523809523809524,1.0,0.989071038251366,0.9047619047619049,0.9833333333333334,0.9588888888888889,0.9845360824742269,0.9052287581699346,0.8731563421828906,0.886039886039886,0.9552238805970148,0.981132075471698,0.9723502304147466,0.9384615384615385,0.9189189189189187,0.761904761904762,0.8888888888888887,0.975,0.9585253456221198,0.9230769230769231,1.0,0.9333333333333332,0.677685950413223,0.9523809523809523,0.9298245614035089,1.0,0.9901960784313725,0.9855072463768118,0.878205128205128,0.8333333333333333,0.9629629629629629,0.8859649122807017,0.9270833333333334,0.9777777777777776,0.9876543209876544,0.9876543209876545,0.9047619047619048,0.993939393939394,0.9658119658119659,0.9921935987509758,0.956989247311828,0.8063063063063064,0.7343915343915344,0.904954954954955,0.9845410628019324,0.9858657243816255,0.9880952380952381,0.9444444444444442,0.9743589743589743,0.9313725490196079,0.9523809523809524,0.8963963963963966,0.953795379537954,0.9523809523809522,0.7619047619047618,0.8779761904761904,0.9480519480519483,0.8647342995169082,0.9273504273504275,0.9528301886792453,0.9885057471264367,0.9287531806615775,0.9549549549549552,0.9725085910652922,0.8585858585858586,0.9712643678160922,0.9504504504504506,0.9531590413943356,0.9629629629629629,0.9715447154471545,0.9397590361445785,0.9147286821705425,0.9547325102880659,0.9898989898989898,0.896551724137931,0.9946236559139785,0.9382716049382717,0.9694235588972432,0.9144654088050315,0.9340659340659342,0.9662921348314607,0.9684684684684686,0.9869281045751633,0.9500891265597149,0.9454545454545452,0.9114583333333335,0.9647988505747126,0.9374016004069363,0.9291449383329194
pure_classification_percent_agreement,0.9578059071729959,0.9855967078189299,0.9875776397515528,0.9466666666666665,0.9562841530054645,1.0,1.0,0.9812206572769956,0.898809523809524,0.9743589743589743,0.9411764705882353,0.9393939393939393,0.9444444444444444,1.0,0.9824561403508772,0.9875886524822695,0.9008771929824563,0.9214929214929216,1.0,0.9931972789115646,0.9895833333333334,0.9901960784313726,0.9642276422764228,0.8764367816091956,1.0,0.9866666666666666,1.0,0.9066091954022988,0.8783333333333334,1.0,1.0,0.9696969696969698,0.9774011299435028,0.8076923076923077,0.8425925925925926,0.9803921568627452,0.9595959595959597,0.9950980392156863,0.9131944444444443,0.9191919191919191,0.7733333333333333,0.946078431372549,0.8801169590643275,0.9393939393939393,1.0,1.0,0.9656862745098038,1.0,1.0,0.9356240126382306,0.9674329501915708,0.909688013136289,0.9593698175787727,0.933001893939394,0.8916423712342079,0.9214628297362111,1.0,0.8611111111111112,0.9449838187702265,0.8315412186379929,0.888888888888889,0.9222222222222223,0.9925925925925926,0.9206896551724137,0.9806201550387597,0.9559386973180075,0.9758454106280194,0.993939393939394,0.982587064676617,0.9308510638297874,0.8070175438596491,0.8898550724637679,0.7885802469135802,0.9074074074074074,0.95679012345679,1.0,0.8993055555555556,0.8694158075601375,0.989247311827957,0.8227848101265823,0.8708920187793426,0.918918918918919,0.9692982456140351,0.7708333333333333,0.896969696969697,1.0,0.9294871794871794,1.0,0.7372060857538035,0.9732510288065843,0.9236947791164658,0.8284313725490197,0.9640522875816993,0.9507575757575758,0.9084967320261438,0.7956989247311828,0.9799242424242424,0.9361733426883699,0.9345865596915134
pure_detection_probability_of_agreement,0.8237547892720306,0.9111111111111111,0.9753086419753086,0.9487179487179487,0.8761904761904762,0.9797979797979798,0.5632183908045977,0.9812206572769953,0.9642857142857143,0.9743589743589743,0.9047619047619048,1.0,0.9781420765027322,0.8095238095238095,0.9666666666666667,0.9177777777777778,0.9690721649484536,0.8104575163398693,0.7463126843657817,0.7720797720797721,0.9104477611940298,0.9622641509433962,0.9447004608294931,0.8769230769230769,0.8378378378378378,0.5238095238095238,0.7777777777777778,0.95,0.9170506912442397,0.8461538461538461,1.0,0.8666666666666667,0.35537190082644626,0.9047619047619048,0.8596491228070176,1.0,0.9803921568627451,0.9710144927536232,0.7564102564102564,0.6666666666666666,0.9259259259259259,0.7719298245614035,0.8541666666666666,0.9555555555555556,0.9753086419753086,0.9753086419753086,0.8095238095238095,0.9878787878787879,0.9316239316239316,0.9843871975019516,0.9139784946236559,0.6126126126126126,0.4687830687830688,0.80990990990991,0.9690821256038648,0.9717314487632509,0.9761904761904762,0.8888888888888888,0.9487179487179487,0.8627450980392157,0.9047619047619048,0.7927927927927928,0.9075907590759076,0.9047619047619048,0.5238095238095238,0.7559523809523809,0.8961038961038961,0.7294685990338164,0.8547008547008547,0.9056603773584906,0.9770114942528736,0.8575063613231552,0.9099099099099099,0.9450171821305842,0.7171717171717171,0.9425287356321839,0.9009009009009009,0.906318082788671,0.9259259259259259,0.943089430894309,0.8795180722891566,0.8294573643410853,0.9094650205761317,0.9797979797979798,0.7931034482758621,0.989247311827957,0.8765432098765432,0.9388471177944863,0.8289308176100629,0.8681318681318682,0.9325842696629213,0.9369369369369369,0.9738562091503268,0.9001782531194296,0.8909090909090909,0.8229166666666666,0.9295977011494253,0.8748032008138723,0.8582898766658389
pure_classification_probability_of_agreement,0.9227053140096618,0.9789029535864979,0.9746300211416491,0.8904109589041096,0.9085714285714286,1.0,1.0,0.9617224880382775,0.7901234567901234,0.9473684210526315,0.8775510204081632,0.8787878787878788,0.8876404494382022,1.0,0.9649122807017544,0.9814356435643564,0.8089285714285714,0.836441893830703,1.0,0.9841269841269841,0.9777777777777777,0.9933774834437086,0.9336650082918739,0.75,1.0,0.9512195121951219,1.0,0.8136094674556213,0.7620689655172413,1.0,1.0,0.9354838709677419,0.9402985074626866,0.6126126126126126,0.6875,0.9607843137254902,0.9191919191919192,0.99,0.7982456140350878,0.8072289156626506,0.5342465753424658,0.8928571428571429,0.7515923566878981,0.875,1.0,1.0,0.9468085106382979,1.0,1.0,0.8718152866242038,0.9558232931726908,0.8536585365853658,0.949671772428884,0.8791146424517594,0.7872127872127872,0.8426829268292683,1.0,0.7291666666666666,0.8983050847457628,0.6784313725490196,0.7777777777777778,0.8271604938271605,0.9848484848484849,0.8408551068883611,0.9494163424124513,0.925764192139738,0.949748743718593,0.9854014598540146,0.9735449735449735,0.8804347826086957,0.6094674556213018,0.7881619937694704,0.5766666666666667,0.8256880733944955,0.9230769230769231,1.0,0.8156565656565656,0.7356181150550796,0.9770114942528736,0.6331877729257642,0.7439613526570048,0.8217821782178217,0.9351851851851852,0.5416666666666666,0.8666666666666667,1.0,0.8714285714285714,1.0,0.5086614173228347,0.9515418502202643,0.8600823045267489,0.6534653465346535,0.9395973154362416,0.8947368421052632,0.8041958041958042,0.5897435897435898,0.962992125984252,0.8742155187880793,0.8738275340393343
