,MAE,Mean actual count per image,image_count
Viable,4.082474226804123,4.257731958762887,97
Non-Viable,15.597938144329897,92.9278350515464,97
Empty,12.896907216494846,11.77319587628866,97
Seed,12.144329896907216,108.95876288659794,97
