,Number of annotations
"('Non-Viable',)",23718
"('Empty',)",1731
"('Viable',)",543
"('Empty', 'Non-Viable')",2452
"('Viable', 'Non-Viable')",1301
"('Undetected', 'Non-Viable')",2667
"('Undetected', 'Empty')",2412
"('Undetected',)",1362
"('Viable', 'Undetected')",57
Total,36243
