,Number of annotations
"('Non-Viable',)",25057
"('Empty',)",2853
"('Viable',)",520
"('Empty', 'Non-Viable')",2830
"('Viable', 'Non-Viable')",1338
"('Empty', 'Viable')",2
"('Undetected', 'Non-Viable')",1808
"('Empty', 'Undetected')",2254
"('Undetected',)",803
"('Viable', 'Undetected')",14
Total,37479
