,001.jpg,006.jpg,011.jpg,016.jpg,021.jpg,026.jpg,031.jpg,036.jpg,041.jpg,046.jpg,051.jpg,056.jpg,061.jpg,066.jpg,071.jpg,076.jpg,081.jpg,086.jpg,091.jpg,096.jpg,101.jpg,106.jpg,111.jpg,116.jpg,121.jpg,126.jpg,131.jpg,136.jpg,141.jpg,146.jpg,151.jpg,156.jpg,161.jpg,166.jpg,171.jpg,176.jpg,181.jpg,186.jpg,191.jpg,196.jpg,201.jpg,206.jpg,211.jpg,216.jpg,221.jpg,236.jpg,241.jpg,246.jpg,251.jpg,256.jpg,266.jpg,276.jpg,281.jpg,286.jpg,291.jpg,296.jpg,301.jpg,306.jpg,321.jpg,326.jpg,331.jpg,336.jpg,341.jpg,346.jpg,351.jpg,356.jpg,361.jpg,366.jpg,371.jpg,376.jpg,381.jpg,386.jpg,391.jpg,396.jpg,401.jpg,406.jpg,411.jpg,416.jpg,421.jpg,426.jpg,431.jpg,436.jpg,441.jpg,446.jpg,451.jpg,456.jpg,461.jpg,466.jpg,471.jpg,476.jpg,486.jpg,491.jpg,496.jpg,501.jpg,506.jpg,511.jpg,516.jpg,521.jpg,per_img_mean,dataset_total
same_label,62.0,74.0,154.0,16.0,51.0,32.0,24.0,65.0,36.0,23.0,42.0,9.0,53.0,5.0,17.0,275.0,132.0,157.0,64.0,92.0,57.0,50.0,173.0,32.0,29.0,14.0,9.0,80.0,127.0,20.0,4.0,16.0,56.0,16.0,10.0,16.0,29.0,66.0,30.0,12.0,23.0,28.0,32.0,32.0,25.0,105.0,26.0,107.0,144.0,336.0,239.0,118.0,169.0,392.0,219.0,209.0,26.0,22.0,81.0,101.0,4.0,37.0,87.0,97.0,40.0,65.0,61.0,45.0,102.0,77.0,24.0,82.0,43.0,143.0,22.0,17.0,109.0,99.0,184.0,175.0,41.0,49.0,28.0,142.0,11.0,43.0,63.0,20.0,433.0,73.0,81.0,67.0,36.0,52.0,148.0,30.0,23.0,379.0,80.56122448979592,7895.0
different_label,11.0,2.0,3.0,5.0,6.0,0.0,0.0,4.0,17.0,3.0,9.0,2.0,7.0,0.0,1.0,7.0,55.0,55.0,0.0,3.0,1.0,0.0,19.0,21.0,0.0,6.0,0.0,33.0,68.0,0.0,0.0,2.0,3.0,22.0,7.0,1.0,4.0,1.0,12.0,18.0,51.0,5.0,19.0,9.0,0.0,0.0,2.0,0.0,0.0,77.0,20.0,39.0,13.0,85.0,102.0,59.0,0.0,14.0,15.0,85.0,2.0,14.0,3.0,33.0,3.0,7.0,5.0,2.0,4.0,16.0,33.0,35.0,67.0,47.0,3.0,2.0,0.0,40.0,113.0,6.0,39.0,27.0,8.0,14.0,21.0,13.0,0.0,4.0,1.0,167.0,6.0,17.0,35.0,5.0,34.0,14.0,30.0,26.0,19.377551020408163,1899.0
not_labeled,18.0,24.0,5.0,12.0,17.0,3.0,7.0,9.0,3.0,0.0,7.0,1.0,3.0,3.0,3.0,33.0,8.0,117.0,60.0,45.0,24.0,2.0,33.0,14.0,7.0,8.0,1.0,10.0,24.0,6.0,1.0,10.0,11.0,3.0,4.0,0.0,1.0,8.0,10.0,33.0,7.0,5.0,20.0,6.0,3.0,7.0,19.0,7.0,20.0,25.0,28.0,246.0,587.0,340.0,39.0,28.0,3.0,0.0,10.0,70.0,2.0,28.0,12.0,51.0,289.0,42.0,11.0,24.0,65.0,16.0,2.0,22.0,6.0,18.0,11.0,2.0,5.0,17.0,18.0,21.0,9.0,15.0,15.0,18.0,3.0,5.0,1.0,5.0,464.0,49.0,17.0,8.0,6.0,5.0,13.0,17.0,27.0,111.0,35.795918367346935,3508.0
krippendorff_with_undetected,0.5630885122410546,0.49791653709807837,0.4895408498881725,0.4749448471478096,0.43677475328055526,0.6040609137055837,0.7236051502145924,0.4152509652509653,-0.10926602457655266,0.21959459459459463,0.6653183257122757,0.6007604562737643,0.5402298850574713,0.28761061946902644,0.6236722306525038,0.42683247988295536,0.30698361084636794,0.24250406075771547,0.29625999810312675,0.27979092854386645,0.2542310970412761,0.4908015768725361,0.30527625974834194,0.23592212685786063,0.7373772791023843,0.4192903548225887,0.8722466960352423,0.49432780494040207,0.40891321344800624,-0.06944444444444442,0.631578947368421,0.19221411192214122,0.4473823373876257,0.1990216271884655,0.3170498084291188,0.0,0.5912435614422369,0.3250753264144627,0.5104091888011486,0.038700621616202135,-0.0012126399885870054,0.3058968058968059,0.30229156509019994,0.4539781591263651,0.22187500000000004,0.3458856345885635,0.154494382022472,0.4447545940916492,0.12571225071225078,0.089374481499917,0.41752041769138715,0.2627239417885602,0.17570130446519683,0.10145456657566976,0.3751844777319795,0.4320150209468405,0.22289156626506024,0.47197744095875926,0.4368861024033437,0.26830794141458736,0.2977099236641222,0.36249035245690764,0.44009301187125194,0.2694957201633116,0.029352929370696,0.2885079572883853,0.3734037119019241,0.6039945398376321,0.2245781047165729,0.2707178631051753,0.2635102821616452,0.43541512893164125,0.22211644761085858,0.12761759276939721,0.5881337934696045,0.5579322638146168,0.36190119760479045,0.2161456052777535,0.4036681938888862,0.28944277698029486,0.002424426092885734,0.15850061155478823,0.5157923275044056,0.5678029812054439,0.31952017448200654,0.422425952045134,0.6643233743409491,0.5034642032332564,0.11944071181366533,0.09639029892836992,0.6492767835253739,0.1381958952931055,0.23920935861234371,0.774637592885857,0.6329450781636556,0.12797527047913437,0.16196359993321097,0.4278648265366124,0.35452229659116985,0.3992658956464159
krippendorff_without_undetected,0.6937420178799489,0.7420454545454546,0.662032598274209,0.6485260770975056,0.46540880503144655,1.0,1.0,-0.014778325123152802,-0.11267605633802824,0.21959459459459463,0.7587301587301587,0.6049382716049383,0.5727923627684963,1.0,0.844574780058651,0.5561974789915967,0.29234445363477624,0.30216991687979533,1.0,-0.007092198581560405,0.0,1.0,0.31250393304386126,0.14263565891472874,1.0,0.5765550239234449,1.0,0.5022757697456492,0.4204996497781929,1.0,1.0,-0.019230769230769162,0.6883116883116883,0.21054302953318504,0.2914979757085021,0.0,0.6585365853658536,0.4974874371859297,0.6141975308641976,-0.011363636363636243,-0.11583011583011582,0.23913043478260865,0.29732360097323607,0.5226086956521739,1.0,1.0,-0.012195121951219523,1.0,1.0,0.006482678117313623,0.4225975668737677,0.6305031446540881,0.8821700011641637,0.1033755274261603,0.43110585452395045,0.5123364659138867,1.0,0.47197744095875926,0.537842190016103,0.36586705241022754,-0.0625,0.40823136818687433,0.2415413533834586,0.2968724324916471,0.9027848101265823,-0.02450646698434311,0.4269924374636417,0.9415204678362573,0.4887096774193549,0.21330031835868413,0.23631908521644418,0.43987197073616824,0.20777027027027006,-0.019752144899904733,0.8527851458885942,0.639871382636656,1.0,0.2447006490853797,0.39819524396519745,-0.007747133560582542,-0.04483802264320125,0.0,0.7069496747689148,0.6264853747714808,0.3170147209859637,0.32409713574097143,1.0,0.6463262764632628,0.9635288181206548,0.07832541430950968,0.7995373939861218,0.005129400792725725,0.19295192516858817,0.8553437712729748,0.6638548752834468,0.061892583120204625,0.17132867132867136,0.7092001252971201,0.4827590274377814,0.505680339577455
uniform_with_undetected,0.6813186813186815,0.7299999999999999,0.9561042524005486,0.5420875420875421,0.6824324324324323,0.9142857142857146,0.7741935483870963,0.8333333333333329,0.6428571428571426,0.8461538461538463,0.7471264367816092,0.777777777777778,0.8589065255731926,0.5624999999999999,0.8306878306878304,0.8828924162257498,0.6743589743589743,0.4680851063829788,0.5161290322580646,0.688888888888889,0.6951219512195118,0.9519230769230768,0.7906172839506174,0.4552238805970149,0.8055555555555554,0.49999999999999994,0.9,0.6892502258355918,0.6164383561643835,0.6923076923076923,0.7999999999999997,0.5714285714285713,0.8095238095238098,0.378048780487805,0.4523809523809525,0.9215686274509802,0.8562091503267973,0.8799999999999996,0.5769230769230772,0.19047619047619035,0.363511659807956,0.7368421052631577,0.4929577464788733,0.6808510638297876,0.857142857142857,0.9374999999999999,0.5425531914893617,0.9385964912280701,0.8373983739837396,0.7614155251141552,0.8404955478126211,0.26674937965260553,0.18725617685305596,0.519107847137223,0.6444444444444444,0.7342342342342342,0.8620689655172411,0.611111111111111,0.7861635220125787,0.41493055555555564,0.49999999999999994,0.468354430379747,0.8529411764705878,0.5801104972375691,0.1069277108433734,0.6023391812865498,0.8152958152958151,0.6338028169014086,0.5906432748538012,0.6926605504587153,0.472693032015066,0.5899280575539568,0.4406130268199229,0.717948717948718,0.6419753086419752,0.8306878306878304,0.9415204678362572,0.6723646723646723,0.6261022927689593,0.8811881188118812,0.5056179775280897,0.5799755799755798,0.59041394335512,0.8365261813537676,0.39047619047619025,0.7049180327868854,0.9843749999999999,0.6934865900383141,0.4816258351893095,0.31718569780853517,0.8034188034188037,0.753623188405797,0.5266955266955266,0.8566308243727602,0.7857549857549855,0.4918032786885247,0.3,0.7605512489233419,0.6650981972077551,0.6300973955462003
uniform_without_undetected,0.7990867579908678,0.964912280701754,0.9808917197452229,0.7619047619047614,0.8596491228070176,1.0,1.0,0.9227053140096613,0.5723270440251578,0.8461538461538463,0.8235294117647058,0.7575757575757578,0.8833333333333334,1.0,0.9444444444444442,0.9751773049645388,0.6078431372549018,0.6540880503144653,1.0,0.9578947368421049,0.9770114942528736,1.0,0.9010416666666665,0.4716981132075475,1.0,0.6000000000000001,1.0,0.7079646017699117,0.6512820512820512,1.0,1.0,0.8518518518518516,0.9491525423728815,0.2280701754385963,0.4509803921568629,0.9215686274509802,0.8787878787878787,0.9800995024875621,0.6190476190476191,0.1999999999999995,0.31081081081081086,0.797979797979798,0.6274509803921569,0.7073170731707317,1.0,1.0,0.9047619047619047,1.0,1.0,0.7514124293785309,0.9227799227799227,0.6687898089171975,0.9047619047619047,0.821802935010482,0.6822429906542056,0.7798507462686568,1.0,0.611111111111111,0.8437499999999999,0.543010752688172,0.5555555555555554,0.6339869281045754,0.9555555555555555,0.7461538461538462,0.9069767441860468,0.902777777777778,0.9242424242424244,0.9432624113475179,0.949685534591195,0.7706093189964154,0.4210526315789474,0.6011396011396011,0.3909090909090905,0.752631578947368,0.8799999999999999,0.8947368421052628,1.0,0.712230215827338,0.6195286195286194,0.9668508287292815,0.5124999999999997,0.6447368421052632,0.7777777777777775,0.9102564102564102,0.34375,0.6904761904761902,1.0,0.8333333333333333,0.9969278033794162,0.3041666666666668,0.9310344827586201,0.7976190476190473,0.507042253521127,0.9122807017543858,0.8131868131868129,0.5757575757575759,0.4339622641509435,0.9358024691358022,0.7859837025147675,0.8061057790483969
percentage_agreement_with_undetected,0.9340659340659342,0.92,0.9897119341563787,0.8787878787878788,0.9234234234234235,0.9714285714285712,0.9247311827956992,0.9615384615384619,0.9821428571428571,1.0,0.9597701149425287,0.9722222222222222,0.984126984126984,0.875,0.9523809523809526,0.9650793650793651,0.9863247863247864,0.8814589665653495,0.8387096774193548,0.8928571428571429,0.9024390243902439,0.9871794871794871,0.9511111111111111,0.9303482587064676,0.9351851851851851,0.9047619047619049,0.9666666666666666,0.97289972899729,0.9634703196347032,0.9230769230769231,0.9333333333333333,0.8809523809523812,0.9476190476190478,0.975609756097561,0.9365079365079367,1.0,0.9901960784313725,0.9644444444444445,0.9358974358974357,0.8253968253968252,0.9711934156378601,0.9561403508771926,0.9061032863849765,0.957446808510638,0.9642857142857144,0.9791666666666666,0.8652482269503543,0.9795321637426901,0.9593495934959351,0.9809741248097413,0.967479674796748,0.7965260545905707,0.7455570004334633,0.8612811097511219,0.9638888888888889,0.9684684684684683,0.9655172413793105,1.0,0.9685534591194969,0.9088541666666665,0.9166666666666666,0.8818565400843886,0.9607843137254904,0.9060773480662984,0.7098393574297188,0.8771929824561402,0.9523809523809527,0.8873239436619718,0.8732943469785577,0.9510703363914375,0.9887005649717513,0.9472422062350121,0.9827586206896552,0.9711538461538461,0.8981481481481483,0.9682539682539684,0.9853801169590644,0.9636752136752137,0.9809523809523809,0.9653465346534653,0.9662921348314607,0.9450549450549453,0.9019607843137254,0.9655172413793105,0.9714285714285712,0.9726775956284152,0.9947916666666667,0.9425287356321841,0.827765404602821,0.9434832756632066,0.9455128205128204,0.9710144927536233,0.9740259740259742,0.9731182795698923,0.9777777777777779,0.9071038251366118,0.8875,0.9282945736434108,0.9372486653700028,0.9120934195359095
percentage_agreement_without_undetected,0.9497716894977168,0.9912280701754387,0.9936305732484076,0.9206349206349209,0.9649122807017544,1.0,1.0,0.9806763285024157,0.8930817610062891,0.9615384615384616,0.9411764705882352,0.9393939393939393,0.9611111111111109,1.0,0.9814814814814815,0.991725768321513,0.9019607843137256,0.9135220125786164,1.0,0.9894736842105265,0.9942528735632183,1.0,0.9670138888888888,0.8679245283018867,1.0,0.9,1.0,0.902654867256637,0.883760683760684,1.0,1.0,0.9629629629629631,0.983050847457627,0.8070175438596493,0.8627450980392156,0.9803921568627452,0.9595959595959597,0.9950248756218906,0.9047619047619048,0.8000000000000003,0.7702702702702703,0.9494949494949495,0.8758169934640523,0.926829268292683,1.0,1.0,0.9761904761904763,1.0,1.0,0.9378531073446329,0.9742599742599743,0.9171974522292994,0.9761904761904763,0.9406009783368274,0.8940809968847352,0.9266169154228855,1.0,0.8703703703703705,0.9479166666666666,0.8476702508960574,0.888888888888889,0.9084967320261437,0.9888888888888889,0.9153846153846154,0.9767441860465115,0.9675925925925924,0.9747474747474747,0.9858156028368793,0.9874213836477987,0.9426523297491042,0.8070175438596491,0.9002849002849004,0.7969696969696971,0.9175438596491229,0.96,0.9649122807017545,1.0,0.9040767386091128,0.87317620650954,0.988950276243094,0.8375,0.8815789473684215,0.9259259259259258,0.9700854700854702,0.7812499999999999,0.9226190476190477,1.0,0.9444444444444443,0.9992319508448542,0.7680555555555555,0.9770114942528739,0.9325396825396827,0.8356807511737088,0.9707602339181287,0.9377289377289378,0.8939393939393938,0.8113207547169808,0.9786008230452676,0.9366905539321084,0.9353685930161323
