epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,783.016,0.4482,0.54888,1.8401,0.96618,0.59029,0.62833,0.53734,0.34757,0.60234,0.636,0.54617,0.33241,0.45904,0.5609,1.89451,1.00371,0.00115519,0.00115519,0.00115519
31,804.002,0.44874,0.5482,1.83253,0.97213,0.6266,0.59026,0.5329,0.34334,0.62525,0.58739,0.53806,0.33032,0.45715,0.53257,1.79596,0.99831,0.00113742,0.00113742,0.00113742
32,825.962,0.46744,0.56279,1.87204,0.97134,0.60911,0.66958,0.55537,0.35192,0.61342,0.66651,0.55407,0.32665,0.47563,0.57136,1.82423,1.01213,0.00111924,0.00111924,0.00111924
33,847.083,0.44596,0.54269,1.79128,0.96491,0.65093,0.50096,0.4819,0.30409,0.66241,0.5027,0.48647,0.28581,0.45992,0.55142,1.90146,1.00584,0.00110066,0.00110066,0.00110066
34,868.508,0.44833,0.5386,1.75948,0.9528,0.65514,0.59363,0.55532,0.35265,0.65868,0.59593,0.55927,0.32743,0.45663,0.54815,1.7565,1.00518,0.00108172,0.00108172,0.00108172
35,890.214,0.44738,0.54691,1.72385,0.96282,0.66447,0.6387,0.58052,0.37221,0.66898,0.64268,0.58511,0.35351,0.46448,0.53272,1.73828,1.00726,0.00106242,0.00106242,0.00106242
36,911.471,0.45488,0.54374,1.77127,0.97041,0.64029,0.54681,0.51698,0.3298,0.63323,0.54826,0.51719,0.31324,0.46035,0.52357,1.78107,0.99952,0.00104278,0.00104278,0.00104278
37,933.005,0.45498,0.52983,1.75324,0.96623,0.59831,0.66096,0.55244,0.35692,0.60049,0.66291,0.55243,0.34184,0.46884,0.53792,1.76168,1.01169,0.00102282,0.00102282,0.00102282
38,954.968,0.447,0.53833,1.76014,0.96333,0.65059,0.54689,0.51771,0.32721,0.64551,0.54575,0.52003,0.32524,0.47549,0.52396,1.78303,1.01436,0.00100257,0.00100257,0.00100257
39,977.409,0.44906,0.54012,1.74724,0.95907,0.66924,0.60314,0.56289,0.36312,0.66883,0.6058,0.56437,0.35881,0.46374,0.52053,1.73473,1.00254,0.00098204,0.00098204,0.00098204
